LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,PoolArea,SalePrice
65,8450,7,5,2003,856,856,854,1710,8,548,0,208500
80,9600,6,8,1976,1262,1262,0,1262,6,460,0,181500
68,11250,7,5,2001,920,920,866,1786,6,608,0,223500
60,9550,7,5,1915,756,961,756,1717,7,642,0,140000
84,14260,8,5,2000,1145,1145,1053,2198,9,836,0,250000
85,14115,5,5,1993,796,796,566,1362,5,480,0,143000
75,10084,8,5,2004,1686,1694,0,1694,7,636,0,307000
NA,10382,7,6,1973,1107,1107,983,2090,7,484,0,200000
51,6120,7,5,1931,952,1022,752,1774,8,468,0,129900
50,7420,5,6,1939,991,1077,0,1077,5,205,0,118000
70,11200,5,5,1965,1040,1040,0,1040,5,384,0,129500
85,11924,9,5,2005,1175,1182,1142,2324,11,736,0,345000
NA,12968,5,6,1962,912,912,0,912,4,352,0,144000
91,10652,7,5,2006,1494,1494,0,1494,7,840,0,279500
NA,10920,6,5,1960,1253,1253,0,1253,5,352,0,157000
51,6120,7,8,1929,832,854,0,854,5,576,0,132000
NA,11241,6,7,1970,1004,1004,0,1004,5,480,0,149000
72,10791,4,5,1967,0,1296,0,1296,6,516,0,90000
66,13695,5,5,2004,1114,1114,0,1114,6,576,0,159000
70,7560,5,6,1958,1029,1339,0,1339,6,294,0,139000
101,14215,8,5,2005,1158,1158,1218,2376,9,853,0,325300
57,7449,7,7,1930,637,1108,0,1108,6,280,0,139400
75,9742,8,5,2002,1777,1795,0,1795,7,534,0,230000
44,4224,5,7,1976,1040,1060,0,1060,6,572,0,129900
NA,8246,5,8,1968,1060,1060,0,1060,6,270,0,154000
110,14230,8,5,2007,1566,1600,0,1600,7,890,0,256300
60,7200,5,7,1951,900,900,0,900,5,576,0,134800
98,11478,8,5,2007,1704,1704,0,1704,7,772,0,306000
47,16321,5,6,1957,1484,1600,0,1600,6,319,0,207500
60,6324,4,6,1927,520,520,0,520,4,240,0,68500
50,8500,4,4,1920,649,649,668,1317,6,250,0,40000
NA,8544,5,6,1966,1228,1228,0,1228,6,271,0,149350
85,11049,8,5,2007,1234,1234,0,1234,7,484,0,179900
70,10552,5,5,1959,1398,1700,0,1700,6,447,0,165500
60,7313,9,5,2005,1561,1561,0,1561,6,556,0,277500
108,13418,8,5,2004,1117,1132,1320,2452,9,691,0,309000
112,10859,5,5,1994,1097,1097,0,1097,6,672,0,145000
74,8532,5,6,1954,1297,1297,0,1297,5,498,0,153000
68,7922,5,7,1953,1057,1057,0,1057,5,246,0,109000
65,6040,4,5,1955,0,1152,0,1152,6,0,0,82000
84,8658,6,5,1965,1088,1324,0,1324,6,440,0,160000
115,16905,5,6,1959,1350,1328,0,1328,5,308,0,170000
NA,9180,5,7,1983,840,884,0,884,5,504,0,144000
NA,9200,5,6,1975,938,938,0,938,5,308,0,130250
70,7945,5,6,1959,1150,1150,0,1150,6,300,0,141000
61,7658,9,5,2005,1752,1752,0,1752,6,576,0,319900
48,12822,7,5,2003,1434,1518,631,2149,6,670,0,239686
84,11096,8,5,2006,1656,1656,0,1656,7,826,0,249700
33,4456,4,5,1920,736,736,716,1452,8,0,0,113000
66,7742,5,7,1966,955,955,0,955,6,386,0,127000
NA,13869,6,6,1997,794,794,676,1470,6,388,0,177000
52,6240,6,6,1934,816,816,0,1176,6,528,0,114500
110,8472,5,5,1963,816,816,0,816,5,516,0,110000
68,50271,9,5,1981,1842,1842,0,1842,5,894,0,385000
60,7134,5,5,1955,384,1360,0,1360,6,572,0,130000
100,10175,6,5,1964,1425,1425,0,1425,7,576,0,180500
24,2645,8,5,1999,970,983,756,1739,7,480,0,172500
89,11645,7,5,2004,860,860,860,1720,7,565,0,196500
66,13682,10,5,2006,1410,1426,1519,2945,10,641,0,438780
60,7200,5,7,1972,780,780,0,780,4,352,0,124900
63,13072,6,5,2004,1158,1158,0,1158,5,576,0,158000
60,7200,5,7,1920,530,581,530,1111,6,288,0,101000
44,6442,8,5,2006,1370,1370,0,1370,6,484,0,202500
50,10300,7,6,1921,576,902,808,1710,9,480,0,140000
NA,9375,7,5,1997,1057,1057,977,2034,8,645,0,219500
76,9591,8,5,2004,1143,1143,1330,2473,9,852,0,317000
NA,19900,7,5,1970,1947,2207,0,2207,7,576,0,180000
72,10665,7,5,2003,1453,1479,0,1479,7,558,0,226000
47,4608,4,6,1945,747,747,0,747,4,220,0,80000
81,15593,7,4,1953,1304,1304,983,2287,7,667,0,225000
95,13651,7,6,1973,2223,2223,0,2223,8,516,0,244000
69,7599,4,6,1982,845,845,0,845,4,360,0,129500
74,10141,7,5,1998,832,885,833,1718,7,427,0,185000
85,10200,5,7,1954,1086,1086,0,1086,6,490,0,144900
60,5790,3,6,1915,840,840,765,1605,8,379,0,107400
21,1596,4,5,1973,462,526,462,988,5,297,0,91000
NA,8475,4,7,1956,952,952,0,952,4,283,0,135750
50,8635,5,5,1948,672,1072,213,1285,6,240,0,127000
72,10778,4,5,1968,1768,1768,0,1768,8,0,0,136500
60,10440,5,6,1910,440,682,548,1230,5,440,0,110000
100,13000,6,6,1968,896,1182,960,2142,8,509,0,193500
32,4500,6,5,1998,1237,1337,0,1337,5,405,0,153500
78,10206,8,5,2007,1563,1563,0,1563,6,758,0,245000
80,8892,5,5,1960,1065,1065,0,1065,6,461,0,126500
NA,8530,7,5,1995,384,804,670,1474,7,400,0,168500
121,16059,8,5,1991,1288,1301,1116,2417,9,462,0,260000
122,11911,6,5,2005,684,684,876,1560,6,400,0,174000
40,3951,6,5,2009,612,612,612,1224,4,528,0,164500
105,8470,3,2,1915,1013,1013,0,1526,6,0,0,85000
60,8070,4,5,1994,990,990,0,990,5,0,0,123600
60,7200,4,5,1950,0,1040,0,1040,4,420,0,109900
85,8500,5,3,1961,1235,1235,0,1235,6,480,0,98600
80,13360,5,7,1921,876,964,0,964,5,432,0,163500
